key,resolution_time
81322,1408
127719,1711
150225,440
172524,1
176084,59
183000,734
184859,806
186963,320
195267,34
204187,220
206460,6
206702,76
207064,122
208291,193
211884,35
212685,50
212755,28
212771,1
213088,18
214613,91
214914,1
215014,1
215855,1
216838,1
216962,1
217824,1
218120,9
218942,1
219229,4
219250,1
220745,1
221859,16
225210,34
225234,9
225476,6
226042,1
226352,4
227217,8
228297,3
228935,1
229073,326
229382,1
229868,1
230911,1
230992,1
231001,1
231977,1
233496,1
234360,1
234414,1
234828,1
235375,56
236040,2464
236968,32
237025,698
237314,29
237681,323
237764,370
238934,34
239216,1
239453,6
242002,117
243782,6
246226,1
247236,1
248197,1
248221,8
248272,1
248334,1
251131,1
251665,68
253692,1
256451,5
256590,1
256593,1
257246,1
258319,1
259116,6
259270,1
259990,1
260753,1
261550,1
261678,90
261871,1
261880,6
261886,3
262353,1
262564,1
262622,12
262713,1
262902,1
262976,1
262977,4
263250,1
263254,36
263973,6
265058,63
265221,1
265651,27
265877,1
265908,27
265961,1
266083,1
266674,1
266711,1
266845,1
266904,1
266964,1
267449,2
267540,1
267989,1
268595,9
268696,3
268718,11
268751,144
269001,2
269234,1
269252,1
269381,1
269382,1
270875,1
270891,55
271063,1
271362,1
271393,21
271733,196
272311,1
272322,9
272349,1
272452,4
272684,1
272983,1
273049,1
273399,1
273511,1
274149,1
274211,1
274454,4
274852,2
275250,1
275296,4
275401,3
275921,1
276701,1157
276894,1
276953,1
277483,4
278598,422
278760,1
280070,11
280119,47
280917,63
281565,200
284885,223
286355,9
287679,1
287860,1
288343,1
288641,40
290136,138
290138,132
290559,1
290756,24
294636,114
295878,1
296258,5
296392,2547
296493,1
296688,1
296917,1
297483,147
299792,1
303695,1
304041,3
304043,1
304426,1
304669,1
304679,4
304822,1
305359,1
305429,4
306537,53
306684,51
307076,14
307252,2
307553,1
308313,1
308648,17
309100,1
309795,21
309884,27
309894,8
310437,23
310458,2425
310520,2
310536,1
310692,1
310803,1
311053,62
311273,4
311649,1
311927,3
312434,1
312872,4
313409,83
313489,267
313952,80
314456,75
317454,9
319667,1
319744,819
320123,17
321030,1
323246,1
323612,1
329363,23
330047,28
330648,1
330718,2
332138,1
332606,144
332765,20
333533,218
333680,4
333788,12
334059,113
334061,47
334512,2
334523,84
337469,5
337646,3
337983,70
338282,4
338551,13
339856,1
340690,1
341468,1
341575,1
341635,1
342710,24
343455,21
344633,545
344929,1
344983,2
345007,1
347379,1
347668,52
352804,28
355109,1
355873,131
357654,16
362766,1
363432,1
363934,6
365325,1
366405,37
366932,32
367164,14
369846,34
370543,1
377563,14
380911,552
381321,3
381428,284
390420,1
393597,1
394621,3
394688,1
395324,6
399942,1
399995,2
401081,1
401741,547
403098,7
406018,6
406217,1
406244,1
406608,12
407772,48
408137,35
409401,21
409493,20
409680,218
414502,1
415008,36
415346,1
417125,461
420609,1
426532,186
427061,10
428259,3
429280,3
429372,72
429679,1
430783,1
431223,7
432494,6
434303,614
436562,28
438771,1
438848,1
439034,29
439789,699
441331,229
444936,1
444988,21
454920,10
458072,54
459581,1
460479,186
462464,1
464315,12
465554,107
465600,476
466840,2
467819,7
470748,105
473160,1
475440,259
477909,604
479192,6
482067,270
482554,64
483767,1
484268,113
486328,1
486911,1
487291,1
488057,3
488440,1
488525,110
488888,3
489088,1
489695,5
493384,272
493977,78
494228,32
496367,1
496918,126
501595,3
501622,3
507091,191
507093,1
507098,3
510443,1
510661,4
511250,34
513033,1
515023,1
515769,1
516110,1
516370,5
516665,1
517106,37
518163,83
518293,27
520707,66
522664,1
525583,4
526597,1
526934,1
527713,1
528825,8
529712,1
529731,1
